latitude,longitude,generation_time
26.90687,112.592652,2019-05-23T08:49:56.000+08:00
26.906858,112.5927,2019-05-23T08:50:06.000+08:00
26.90686,112.59317,2019-05-23T08:50:16.000+08:00
26.906868,112.5939,2019-05-23T08:50:26.000+08:00
26.906855,112.594253,2019-05-23T08:50:36.000+08:00
26.906848,112.594293,2019-05-23T08:50:46.000+08:00
26.906852,112.59429,2019-05-23T08:50:56.000+08:00
26.906852,112.59429,2019-05-23T08:51:06.000+08:00
26.906852,112.59429,2019-05-23T08:51:16.000+08:00
26.906852,112.59429,2019-05-23T08:51:26.000+08:00
26.906852,112.59429,2019-05-23T08:51:36.000+08:00
26.882578,112.54125,2019-05-23T08:18:06.000+08:00
26.882578,112.54125,2019-05-23T08:18:16.000+08:00
26.906852,112.59429,2019-05-23T08:51:46.000+08:00
26.906852,112.59429,2019-05-23T08:51:56.000+08:00
26.906852,112.59429,2019-05-23T08:52:06.000+08:00
26.906852,112.59429,2019-05-23T08:52:16.000+08:00
26.906852,112.59429,2019-05-23T08:52:26.000+08:00
26.906847,112.594483,2019-05-23T08:52:36.000+08:00
26.882578,112.54125,2019-05-23T08:18:26.000+08:00
26.882578,112.54125,2019-05-23T08:18:36.000+08:00
26.906857,112.59506,2019-05-23T08:52:46.000+08:00
26.906843,112.595628,2019-05-23T08:52:56.000+08:00
26.882578,112.54125,2019-05-23T08:18:46.000+08:00
26.882578,112.54125,2019-05-23T08:18:56.000+08:00
26.906822,112.595877,2019-05-23T08:53:06.000+08:00
26.906818,112.59588,2019-05-23T08:53:16.000+08:00
26.882578,112.54125,2019-05-23T08:19:06.000+08:00
26.882578,112.54125,2019-05-23T08:19:16.000+08:00
26.882578,112.54125,2019-05-23T08:19:26.000+08:00
26.906818,112.59588,2019-05-23T08:53:26.000+08:00
26.906818,112.59588,2019-05-23T08:53:36.000+08:00
26.906887,112.596065,2019-05-23T08:53:46.000+08:00
26.906923,112.596395,2019-05-23T08:53:56.000+08:00
26.906863,112.596807,2019-05-23T08:54:06.000+08:00
26.882578,112.54125,2019-05-23T08:19:36.000+08:00
26.882825,112.541448,2019-05-23T08:19:46.000+08:00
26.906858,112.596978,2019-05-23T08:54:10.000+08:00
26.906857,112.597137,2019-05-23T08:54:16.000+08:00
26.906858,112.597453,2019-05-23T08:54:26.000+08:00
26.90683,112.59816,2019-05-23T08:54:36.000+08:00
26.906833,112.598307,2019-05-23T08:54:38.000+08:00
26.906763,112.598817,2019-05-23T08:54:46.000+08:00
26.90672,112.599462,2019-05-23T08:54:56.000+08:00
26.906885,112.599873,2019-05-23T08:55:06.000+08:00
26.9069,112.599887,2019-05-23T08:55:16.000+08:00
26.906905,112.599952,2019-05-23T08:55:26.000+08:00
26.906935,112.600057,2019-05-23T08:55:36.000+08:00
26.906997,112.600807,2019-05-23T08:55:46.000+08:00
26.90694,112.601545,2019-05-23T08:55:56.000+08:00
26.906932,112.601667,2019-05-23T08:55:59.000+08:00
26.906918,112.601703,2019-05-23T08:56:06.000+08:00
26.90695,112.601907,2019-05-23T08:56:16.000+08:00
26.906978,112.602367,2019-05-23T08:56:26.000+08:00
26.906973,112.602698,2019-05-23T08:56:36.000+08:00
26.90696,112.602853,2019-05-23T08:56:46.000+08:00
26.906957,112.602985,2019-05-23T08:56:50.000+08:00
26.907113,112.603183,2019-05-23T08:56:56.000+08:00
26.907605,112.603158,2019-05-23T08:57:06.000+08:00
26.90821,112.603105,2019-05-23T08:57:16.000+08:00
26.908552,112.603108,2019-05-23T08:57:24.000+08:00
26.908572,112.603115,2019-05-23T08:57:26.000+08:00
26.908572,112.60311,2019-05-23T08:57:36.000+08:00
26.908908,112.603073,2019-05-23T08:57:46.000+08:00
26.909457,112.603085,2019-05-23T08:57:56.000+08:00
26.909802,112.603108,2019-05-23T08:58:01.000+08:00
26.910095,112.603103,2019-05-23T08:58:06.000+08:00
26.91041,112.603092,2019-05-23T08:58:16.000+08:00
26.91042,112.603092,2019-05-23T08:58:26.000+08:00
26.91042,112.603092,2019-05-23T08:58:36.000+08:00
26.91042,112.603092,2019-05-23T08:58:46.000+08:00
26.910763,112.603123,2019-05-23T08:58:56.000+08:00
26.911495,112.603163,2019-05-23T08:59:06.000+08:00
26.912375,112.603165,2019-05-23T08:59:16.000+08:00
26.912375,112.603165,2019-05-23T08:59:16.000+08:00
26.913203,112.603178,2019-05-23T08:59:26.000+08:00
26.913262,112.603182,2019-05-23T08:59:27.000+08:00
26.913458,112.603205,2019-05-23T08:59:36.000+08:00
26.913613,112.603212,2019-05-23T08:59:46.000+08:00
26.91416,112.603162,2019-05-23T08:59:56.000+08:00
26.91494,112.603147,2019-05-23T09:00:06.000+08:00
26.915615,112.60316,2019-05-23T09:00:16.000+08:00
26.91592,112.603187,2019-05-23T09:00:26.000+08:00
26.916347,112.603212,2019-05-23T09:00:36.000+08:00
26.916783,112.603518,2019-05-23T09:00:46.000+08:00
26.917532,112.604035,2019-05-23T09:00:56.000+08:00
26.918077,112.604418,2019-05-23T09:01:03.000+08:00
26.918298,112.60457,2019-05-23T09:01:06.000+08:00
26.918875,112.605052,2019-05-23T09:01:14.000+08:00
26.919017,112.605195,2019-05-23T09:01:16.000+08:00
26.919745,112.60595,2019-05-23T09:01:26.000+08:00
26.920515,112.60671,2019-05-23T09:01:36.000+08:00
26.921065,112.607132,2019-05-23T09:01:46.000+08:00
26.921115,112.607158,2019-05-23T09:01:56.000+08:00
26.921577,112.607322,2019-05-23T09:02:06.000+08:00
26.92177,112.607392,2019-05-23T09:02:16.000+08:00
26.921768,112.60739,2019-05-23T09:02:26.000+08:00
26.921768,112.60739,2019-05-23T09:02:36.000+08:00
26.921807,112.607405,2019-05-23T09:02:46.000+08:00
26.92221,112.60759,2019-05-23T09:02:56.000+08:00
26.922675,112.60779,2019-05-23T09:03:06.000+08:00
26.92335,112.608123,2019-05-23T09:03:16.000+08:00
26.924062,112.6084,2019-05-23T09:03:26.000+08:00
26.924378,112.608518,2019-05-23T09:03:36.000+08:00
26.924373,112.608512,2019-05-23T09:03:46.000+08:00
26.924822,112.60859,2019-05-23T09:03:56.000+08:00
26.925413,112.608693,2019-05-23T09:04:04.000+08:00
26.925552,112.608712,2019-05-23T09:04:06.000+08:00
26.926137,112.608768,2019-05-23T09:04:16.000+08:00
26.926283,112.608768,2019-05-23T09:04:26.000+08:00
26.92628,112.60877,2019-05-23T09:04:36.000+08:00
26.92628,112.60877,2019-05-23T09:04:46.000+08:00
26.926443,112.60878,2019-05-23T09:04:53.000+08:00
26.926632,112.608777,2019-05-23T09:04:56.000+08:00
26.927362,112.608822,2019-05-23T09:05:06.000+08:00
26.928342,112.608858,2019-05-23T09:05:16.000+08:00
26.929327,112.609113,2019-05-23T09:05:26.000+08:00
26.929603,112.609227,2019-05-23T09:05:36.000+08:00
26.930168,112.609585,2019-05-23T09:05:46.000+08:00
26.930805,112.610073,2019-05-23T09:05:55.000+08:00
26.930872,112.610142,2019-05-23T09:05:56.000+08:00
26.931488,112.610928,2019-05-23T09:06:06.000+08:00
26.93179,112.611388,2019-05-23T09:06:16.000+08:00
26.931955,112.611638,2019-05-23T09:06:26.000+08:00
26.931955,112.611638,2019-05-23T09:06:26.000+08:00
26.931958,112.611637,2019-05-23T09:06:36.000+08:00
26.931958,112.611637,2019-05-23T09:06:46.000+08:00
26.931958,112.611637,2019-05-23T09:06:56.000+08:00
26.88286,112.541462,2019-05-23T08:19:56.000+08:00
26.88286,112.541465,2019-05-23T08:20:06.000+08:00
26.88301,112.541467,2019-05-23T08:20:16.000+08:00
26.883542,112.541485,2019-05-23T08:20:26.000+08:00
26.884077,112.541482,2019-05-23T08:20:36.000+08:00
26.884358,112.54177,2019-05-23T08:20:46.000+08:00
26.884353,112.542192,2019-05-23T08:20:53.000+08:00
26.884357,112.542352,2019-05-23T08:20:56.000+08:00
26.88435,112.542457,2019-05-23T08:20:58.000+08:00
26.884352,112.542825,2019-05-23T08:21:06.000+08:00
26.884353,112.542895,2019-05-23T08:21:16.000+08:00
26.884352,112.542895,2019-05-23T08:21:26.000+08:00
26.884352,112.542895,2019-05-23T08:21:36.000+08:00
26.884365,112.543018,2019-05-23T08:21:45.000+08:00
26.884368,112.543062,2019-05-23T08:21:46.000+08:00
26.884365,112.543635,2019-05-23T08:21:54.000+08:00
26.884363,112.543793,2019-05-23T08:21:56.000+08:00
26.884338,112.54442,2019-05-23T08:22:06.000+08:00
26.884345,112.544925,2019-05-23T08:22:13.000+08:00
26.884343,112.545013,2019-05-23T08:22:14.000+08:00
26.88434,112.5452,2019-05-23T08:22:16.000+08:00
26.884338,112.545297,2019-05-23T08:22:17.000+08:00
26.884312,112.546212,2019-05-23T08:22:26.000+08:00
26.884288,112.546842,2019-05-23T08:22:36.000+08:00
26.884285,112.546858,2019-05-23T08:22:46.000+08:00
26.884292,112.547085,2019-05-23T08:22:56.000+08:00
26.884267,112.547728,2019-05-23T08:23:06.000+08:00
26.884275,112.548038,2019-05-23T08:23:16.000+08:00
26.884277,112.548035,2019-05-23T08:23:26.000+08:00
26.884283,112.548088,2019-05-23T08:23:36.000+08:00
26.884325,112.548618,2019-05-23T08:23:46.000+08:00
26.884338,112.54935,2019-05-23T08:23:56.000+08:00
26.884312,112.54983,2019-05-23T08:24:06.000+08:00
26.884312,112.550647,2019-05-23T08:24:16.000+08:00
26.884308,112.551025,2019-05-23T08:24:21.000+08:00
26.8843,112.551335,2019-05-23T08:24:26.000+08:00
26.884273,112.55191,2019-05-23T08:24:36.000+08:00
26.88426,112.551957,2019-05-23T08:24:46.000+08:00
26.88426,112.551955,2019-05-23T08:24:56.000+08:00
26.88426,112.551955,2019-05-23T08:25:06.000+08:00
26.884265,112.551992,2019-05-23T08:25:06.000+08:00
26.88427,112.552427,2019-05-23T08:25:16.000+08:00
26.884265,112.55288,2019-05-23T08:25:26.000+08:00
26.884265,112.553352,2019-05-23T08:25:36.000+08:00
26.884262,112.553495,2019-05-23T08:25:39.000+08:00
26.884255,112.553727,2019-05-23T08:25:46.000+08:00
26.884243,112.554348,2019-05-23T08:25:56.000+08:00
26.884247,112.554863,2019-05-23T08:26:02.000+08:00
26.884238,112.555222,2019-05-23T08:26:06.000+08:00
26.884388,112.556177,2019-05-23T08:26:16.000+08:00
26.884548,112.557083,2019-05-23T08:26:26.000+08:00
26.884577,112.557355,2019-05-23T08:26:36.000+08:00
