latitude,longitude,generation_time
28.21344,112.880538,2019-03-01T19:09:25.000+08:00
28.21336,112.88008,2019-03-01T19:09:30.000+08:00
28.213261,112.879581,2019-03-01T19:09:35.000+08:00
28.21316,112.879098,2019-03-01T19:09:40.000+08:00
28.21304,112.878635,2019-03-01T19:09:45.000+08:00
28.212911,112.87819,2019-03-01T19:09:50.000+08:00
28.21278,112.877766,2019-03-01T19:09:55.000+08:00
28.212648,112.877358,2019-03-01T19:10:00.000+08:00
28.21253,112.87695,2019-03-01T19:10:05.000+08:00
28.212421,112.876588,2019-03-01T19:10:10.000+08:00
28.212376,112.876446,2019-03-01T19:10:15.000+08:00
28.212376,112.876446,2019-03-01T19:10:20.000+08:00
28.212376,112.876446,2019-03-01T19:10:25.000+08:00
28.212376,112.876446,2019-03-01T19:10:30.000+08:00
28.212376,112.876446,2019-03-01T19:10:35.000+08:00
28.212376,112.876446,2019-03-01T19:10:40.000+08:00
28.212376,112.876446,2019-03-01T19:10:45.000+08:00
28.212376,112.876446,2019-03-01T19:10:50.000+08:00
28.212376,112.876446,2019-03-01T19:10:55.000+08:00
28.212376,112.876446,2019-03-01T19:11:00.000+08:00
28.212376,112.876446,2019-03-01T19:11:05.000+08:00
28.212376,112.876446,2019-03-01T19:11:10.000+08:00
28.212376,112.876446,2019-03-01T19:11:15.000+08:00
28.212338,112.876308,2019-03-01T19:11:20.000+08:00
28.212248,112.876016,2019-03-01T19:11:25.000+08:00
28.212145,112.875638,2019-03-01T19:11:30.000+08:00
28.21205,112.875275,2019-03-01T19:11:35.000+08:00
28.211998,112.875096,2019-03-01T19:11:39.000+08:00
28.211998,112.875096,2019-03-01T19:11:40.000+08:00
28.211998,112.875096,2019-03-01T19:11:45.000+08:00
28.211998,112.875096,2019-03-01T19:11:48.000+08:00
28.211998,112.875096,2019-03-01T19:11:50.000+08:00
28.211966,112.875026,2019-03-01T19:11:55.000+08:00
28.211856,112.874783,2019-03-01T19:12:00.000+08:00
28.211708,112.874426,2019-03-01T19:12:05.000+08:00
28.211538,112.874018,2019-03-01T19:12:10.000+08:00
28.211403,112.873548,2019-03-01T19:12:15.000+08:00
28.211293,112.873061,2019-03-01T19:12:20.000+08:00
28.211208,112.872581,2019-03-01T19:12:25.000+08:00
28.211148,112.872128,2019-03-01T19:12:30.000+08:00
28.211113,112.871746,2019-03-01T19:12:35.000+08:00
28.2111,112.871303,2019-03-01T19:12:40.000+08:00
28.211106,112.870825,2019-03-01T19:12:45.000+08:00
28.21111,112.870376,2019-03-01T19:12:50.000+08:00
28.211108,112.869975,2019-03-01T19:12:55.000+08:00
28.211106,112.869636,2019-03-01T19:13:00.000+08:00
28.211126,112.869141,2019-03-01T19:13:05.000+08:00
28.21113,112.868991,2019-03-01T19:13:08.000+08:00
28.21113,112.868991,2019-03-01T19:13:10.000+08:00
28.21113,112.868991,2019-03-01T19:13:12.000+08:00
28.21113,112.868991,2019-03-01T19:13:15.000+08:00
28.21111,112.86876,2019-03-01T19:13:20.000+08:00
28.211093,112.868371,2019-03-01T19:13:25.000+08:00
28.211086,112.867605,2019-03-01T19:13:30.000+08:00
28.21108,112.866926,2019-03-01T19:13:35.000+08:00
28.211095,112.866288,2019-03-01T19:13:40.000+08:00
28.21112,112.865745,2019-03-01T19:13:45.000+08:00
28.211255,112.865381,2019-03-01T19:13:50.000+08:00
28.211591,112.865313,2019-03-01T19:13:55.000+08:00
28.21198,112.865301,2019-03-01T19:14:00.000+08:00
28.212455,112.865278,2019-03-01T19:14:05.000+08:00
28.213013,112.865278,2019-03-01T19:14:10.000+08:00
28.213615,112.865271,2019-03-01T19:14:15.000+08:00
28.21409,112.865263,2019-03-01T19:14:20.000+08:00
28.214793,112.865271,2019-03-01T19:14:25.000+08:00
28.215378,112.86528,2019-03-01T19:14:30.000+08:00
28.215938,112.865303,2019-03-01T19:14:35.000+08:00
28.216406,112.865355,2019-03-01T19:14:40.000+08:00
28.216766,112.865395,2019-03-01T19:14:45.000+08:00
28.217121,112.865418,2019-03-01T19:14:50.000+08:00
28.217405,112.865476,2019-03-01T19:14:55.000+08:00
28.217525,112.865496,2019-03-01T19:15:00.000+08:00
28.217573,112.86547,2019-03-01T19:15:05.000+08:00
28.217605,112.865468,2019-03-01T19:15:10.000+08:00
28.217605,112.865468,2019-03-01T19:15:15.000+08:00
28.217605,112.865468,2019-03-01T19:15:20.000+08:00
28.217605,112.865468,2019-03-01T19:15:25.000+08:00
28.21773,112.86549,2019-03-01T19:15:30.000+08:00
28.217898,112.865403,2019-03-01T19:15:35.000+08:00
28.217961,112.865071,2019-03-01T19:15:40.000+08:00
28.217975,112.864571,2019-03-01T19:15:45.000+08:00
28.217983,112.864031,2019-03-01T19:15:50.000+08:00
28.217988,112.863476,2019-03-01T19:15:55.000+08:00
28.217995,112.862915,2019-03-01T19:16:00.000+08:00
28.217996,112.862448,2019-03-01T19:16:05.000+08:00
28.217998,112.861895,2019-03-01T19:16:10.000+08:00
28.218001,112.861366,2019-03-01T19:16:15.000+08:00
28.218,112.861005,2019-03-01T19:16:20.000+08:00
28.21804,112.860423,2019-03-01T19:16:25.000+08:00
28.218053,112.860025,2019-03-01T19:16:30.000+08:00
28.218055,112.859846,2019-03-01T19:16:35.000+08:00
28.218055,112.859846,2019-03-01T19:16:40.000+08:00
28.218063,112.859758,2019-03-01T19:16:45.000+08:00
28.218056,112.85939,2019-03-01T19:16:50.000+08:00
28.218033,112.858928,2019-03-01T19:16:55.000+08:00
28.218026,112.858603,2019-03-01T19:17:00.000+08:00
28.21802,112.85811,2019-03-01T19:17:05.000+08:00
28.218048,112.857566,2019-03-01T19:17:10.000+08:00
28.218058,112.856988,2019-03-01T19:17:15.000+08:00
28.218068,112.856498,2019-03-01T19:17:20.000+08:00
28.218263,112.85629,2019-03-01T19:17:25.000+08:00
28.218596,112.856251,2019-03-01T19:17:30.000+08:00
28.218936,112.856236,2019-03-01T19:17:35.000+08:00
28.219236,112.856195,2019-03-01T19:17:40.000+08:00
28.219546,112.856155,2019-03-01T19:17:45.000+08:00
28.219836,112.856145,2019-03-01T19:17:50.000+08:00
28.219905,112.856126,2019-03-01T19:17:55.000+08:00
28.22013,112.856096,2019-03-01T19:18:00.000+08:00
28.220548,112.856091,2019-03-01T19:18:05.000+08:00
28.221078,112.856106,2019-03-01T19:18:10.000+08:00
28.221643,112.856125,2019-03-01T19:18:15.000+08:00
28.222176,112.856138,2019-03-01T19:18:20.000+08:00
28.22267,112.856145,2019-03-01T19:18:25.000+08:00
28.223055,112.856146,2019-03-01T19:18:30.000+08:00
28.2234,112.856145,2019-03-01T19:18:35.000+08:00
28.223705,112.856146,2019-03-01T19:18:40.000+08:00
28.223815,112.856146,2019-03-01T19:18:45.000+08:00
28.223815,112.856146,2019-03-01T19:18:50.000+08:00
28.223973,112.856148,2019-03-01T19:18:55.000+08:00
28.224215,112.85617,2019-03-01T19:19:00.000+08:00
28.224586,112.856236,2019-03-01T19:19:05.000+08:00
28.22506,112.856298,2019-03-01T19:19:10.000+08:00
28.225555,112.856405,2019-03-01T19:19:15.000+08:00
28.226071,112.856521,2019-03-01T19:19:20.000+08:00
28.22661,112.856641,2019-03-01T19:19:25.000+08:00
28.227171,112.856765,2019-03-01T19:19:30.000+08:00
28.227736,112.856891,2019-03-01T19:19:35.000+08:00
28.228243,112.857008,2019-03-01T19:19:40.000+08:00
28.228613,112.857106,2019-03-01T19:19:45.000+08:00
28.228766,112.857426,2019-03-01T19:19:50.000+08:00
